asset_ID,currency,image_URL,name,price,purchase_URL,quality
201000066,ETH,https://card.godsunchained.com/?id=114&q=3&w=512&png=true,Tutankhamun, 0.25,https://godsunchained.com/marketplace/search/(asset:details/114/3/your_contract_number/card),Shadow
201000067,ETH,https://card.godsunchained.com/?id=363&q=3&w=512&png=true,Sothek, 0.34,https://godsunchained.com/marketplace/search/(asset:details/363/3/your_contract_number/card),Shadow
201000068,ETH,https://card.godsunchained.com/?id=25&q=3&w=512&png=true,Odin Endless War, 0.465,https://godsunchained.com/marketplace/search/(asset:details/25/3/your_contract_number/card),Shadow
201000069,ETH,https://card.godsunchained.com/?id=133&q=3&w=512&png=true,Nemris the Unstable, 0.21,https://godsunchained.com/marketplace/search/(asset:details/133/3/your_contract_number/card),Shadow
201000070,ETH,https://card.godsunchained.com/?id=366&q=3&w=512&png=true,Merlin, 0.3,https://godsunchained.com/marketplace/search/(asset:details/366/3/your_contract_number/card),Shadow
201000071,ETH,https://card.godsunchained.com/?id=83&q=3&w=512&png=true,Death Unborn, 0.4,https://godsunchained.com/marketplace/search/(asset:details/83/3/your_contract_number/card),Shadow
201000072,ETH,https://card.godsunchained.com/?id=129&q=3&w=512&png=true,Avatar of Death, 0.5,https://godsunchained.com/marketplace/search/(asset:details/129/3/your_contract_number/card),Shadow
201000073,ETH,https://card.godsunchained.com/?id=171&q=4&w=512&png=true,Will O\' Wisp, 0.0001,https://godsunchained.com/marketplace/search/(asset:details/171/4/your_contract_number/card),Meteorite
201000074,ETH,https://card.godsunchained.com/?id=298&q=4&w=512&png=true,Runaway Trebuchet, 0.0002,https://godsunchained.com/marketplace/search/(asset:details/298/4/your_contract_number/card),Meteorite
201000075,ETH,https://card.godsunchained.com/?id=257&q=4&w=512&png=true,La Bolefuego, 0.0595,https://godsunchained.com/marketplace/search/(asset:details/257/4/your_contract_number/card),Meteorite
201000076,ETH,https://card.godsunchained.com/?id=25&q=4&w=512&png=true,Odin Endless War, 0.0475,https://godsunchained.com/marketplace/search/(asset:details/25/4/your_contract_number/card),Meteorite
201000077,ETH,https://card.godsunchained.com/?id=151&q=3&w=512&png=true,The Gatekeeper, 0.28,https://godsunchained.com/marketplace/search/(asset:details/151/3/your_contract_number/card),Shadow
201000078,ETH,https://card.godsunchained.com/?id=337&q=2&w=512&png=true,Pandora The Curious, 5,https://godsunchained.com/marketplace/search/(asset:details/337/2/your_contract_number/card),Gold
201000079,ETH,https://card.godsunchained.com/?id=367&q=4&w=512&png=true,Avatar of Nature, 0.0996,https://godsunchained.com/marketplace/search/(asset:details/367/4/your_contract_number/card),Meteorite
201000080,ETH,https://card.godsunchained.com/?id=231&q=3&w=512&png=true,Pyramid Warden, 0.0998,https://godsunchained.com/marketplace/search/(asset:details/231/3/your_contract_number/card),Shadow
201000081,ETH,https://card.godsunchained.com/?id=138&q=3&w=512&png=true,Hallowed Keeper, 0.0012,https://godsunchained.com/marketplace/search/(asset:details/138/3/your_contract_number/card),Shadow
201000082,ETH,https://card.godsunchained.com/?id=5&q=4&w=512&png=true,Half Life, 0.0008,https://godsunchained.com/marketplace/search/(asset:details/5/4/your_contract_number/card),Meteorite
201000083,ETH,https://card.godsunchained.com/?id=139&q=4&w=512&png=true,Gentle Monk, 0.001,https://godsunchained.com/marketplace/search/(asset:details/139/4/your_contract_number/card),Meteorite
201000084,ETH,https://card.godsunchained.com/?id=34&q=4&w=512&png=true,Foolhardy Berserker, 0.0004,https://godsunchained.com/marketplace/search/(asset:details/34/4/your_contract_number/card),Meteorite
201000085,ETH,https://card.godsunchained.com/?id=251&q=4&w=512&png=true,Flying Carpet, 0.0012,https://godsunchained.com/marketplace/search/(asset:details/251/4/your_contract_number/card),Meteorite
201000086,ETH,https://card.godsunchained.com/?id=237&q=4&w=512&png=true,Field Martyr, 0.0017,https://godsunchained.com/marketplace/search/(asset:details/237/4/your_contract_number/card),Meteorite
201000087,ETH,https://card.godsunchained.com/?id=355&q=4&w=512&png=true,Eager Gryphon, 0.001,https://godsunchained.com/marketplace/search/(asset:details/355/4/your_contract_number/card),Meteorite
201000088,ETH,https://card.godsunchained.com/?id=42&q=4&w=512&png=true,Dread Pirate, 0.0009,https://godsunchained.com/marketplace/search/(asset:details/42/4/your_contract_number/card),Meteorite
201000089,ETH,https://card.godsunchained.com/?id=176&q=3&w=512&png=true,Dense Fog, 0.008,https://godsunchained.com/marketplace/search/(asset:details/176/3/your_contract_number/card),Shadow
201000090,ETH,https://card.godsunchained.com/?id=225&q=4&w=512&png=true,Deathwish Thanetar, 0.008,https://godsunchained.com/marketplace/search/(asset:details/225/4/your_contract_number/card),Meteorite
201000091,ETH,https://card.godsunchained.com/?id=211&q=4&w=512&png=true,Deathsworn Raider, 0.0001,https://godsunchained.com/marketplace/search/(asset:details/211/4/your_contract_number/card),Meteorite
201000092,ETH,https://card.godsunchained.com/?id=263&q=3&w=512&png=true,Crimson Oni, 0.001,https://godsunchained.com/marketplace/search/(asset:details/263/3/your_contract_number/card),Shadow
201000093,ETH,https://card.godsunchained.com/?id=226&q=4&w=512&png=true,Conniving Djinn, 0.0001,https://godsunchained.com/marketplace/search/(asset:details/226/4/your_contract_number/card),Meteorite
201000094,ETH,https://card.godsunchained.com/?id=134&q=4&w=512&png=true,Compost Charm, 0.007,https://godsunchained.com/marketplace/search/(asset:details/134/4/your_contract_number/card),Meteorite
201000095,ETH,https://card.godsunchained.com/?id=294&q=4&w=512&png=true,Cavern Arachne, 0.0009,https://godsunchained.com/marketplace/search/(asset:details/294/4/your_contract_number/card),Meteorite
201000096,ETH,https://card.godsunchained.com/?id=108&q=4&w=512&png=true,Carcass Vulture, 0.0003,https://godsunchained.com/marketplace/search/(asset:details/108/4/your_contract_number/card),Meteorite
201000097,ETH,https://card.godsunchained.com/?id=327&q=4&w=512&png=true,Canonize, 0.0017,https://godsunchained.com/marketplace/search/(asset:details/327/4/your_contract_number/card),Meteorite
201000098,ETH,https://card.godsunchained.com/?id=256&q=3&w=512&png=true,Burrowing Scarab, 0.002,https://godsunchained.com/marketplace/search/(asset:details/256/3/your_contract_number/card),Shadow
201000099,ETH,https://card.godsunchained.com/?id=192&q=4&w=512&png=true,Actuary of War, 0.0008,https://godsunchained.com/marketplace/search/(asset:details/192/4/your_contract_number/card),Meteorite
201000100,ETH,https://card.godsunchained.com/?id=306&q=4&w=512&png=true,Blood Rage, 0.0005,https://godsunchained.com/marketplace/search/(asset:details/306/4/your_contract_number/card),Meteorite
201000101,ETH,https://card.godsunchained.com/?id=222&q=4&w=512&png=true,Bast\'s Claws,0,https://godsunchained.com/marketplace/search/(asset:details/222/4/your_contract_number/card),Meteorite
201000102,ETH,https://card.godsunchained.com/?id=164&q=4&w=512&png=true,Azure Djinni,0,https://godsunchained.com/marketplace/search/(asset:details/164/4/your_contract_number/card),Meteorite
201000103,ETH,https://card.godsunchained.com/?id=328&q=4&w=512&png=true,Angelic Veteran, 0.0007,https://godsunchained.com/marketplace/search/(asset:details/328/4/your_contract_number/card),Meteorite
201000104,ETH,https://card.godsunchained.com/?id=121&q=4&w=512&png=true,Agrodor Protector, 0.001,https://godsunchained.com/marketplace/search/(asset:details/121/4/your_contract_number/card),Meteorite
201000105,ETH,https://card.godsunchained.com/?id=244&q=4&w=512&png=true,Aetherfuel Alchemist, 0.001,https://godsunchained.com/marketplace/search/(asset:details/244/4/your_contract_number/card),Meteorite
201000106,ETH,https://card.godsunchained.com/?id=214&q=3&w=512&png=true,Shrine of Sothek, 0.005,https://godsunchained.com/marketplace/search/(asset:details/214/3/your_contract_number/card),Shadow
201000107,ETH,https://card.godsunchained.com/?id=334&q=1&w=512&png=true,Sharpen, 0.28,https://godsunchained.com/marketplace/search/(asset:details/334/1/your_contract_number/card),Diamond
201000108,ETH,https://card.godsunchained.com/?id=1143&q=4&w=512&png=true,Arrow of Rage, 0.0049,https://godsunchained.com/marketplace/search/(asset:details/1143/4/your_contract_number/card),Meteorite
201000109,ETH,https://card.godsunchained.com/?id=88&q=4&w=512&png=true,Shady Merchant, 0.0004,https://godsunchained.com/marketplace/search/(asset:details/88/4/your_contract_number/card),Meteorite
201000110,ETH,https://card.godsunchained.com/?id=94&q=3&w=512&png=true,Demogorgon, 0.6,https://godsunchained.com/marketplace/search/(asset:details/94/3/your_contract_number/card),Shadow
201000111,ETH,https://card.godsunchained.com/?id=113&q=2&w=512&png=true,Anhotep the Embalmer, 2,https://godsunchained.com/marketplace/search/(asset:details/113/2/your_contract_number/card),Gold
201000112,ETH,https://card.godsunchained.com/?id=194&q=3&w=512&png=true,Raving Fan, 0.04,https://godsunchained.com/marketplace/search/(asset:details/194/3/your_contract_number/card),Shadow
201000113,ETH,https://card.godsunchained.com/?id=172&q=3&w=512&png=true,Wild Spellsinger, 0.0065,https://godsunchained.com/marketplace/search/(asset:details/172/3/your_contract_number/card),Shadow
201000114,ETH,https://card.godsunchained.com/?id=13&q=4&w=512&png=true,Charm, 0.002,https://godsunchained.com/marketplace/search/(asset:details/13/4/your_contract_number/card),Meteorite
201000115,ETH,https://card.godsunchained.com/?id=158&q=4&w=512&png=true,Wizened Warlock, 0.006,https://godsunchained.com/marketplace/search/(asset:details/158/4/your_contract_number/card),Meteorite
201000116,ETH,https://card.godsunchained.com/?id=157&q=4&w=512&png=true,Furies, 0.019,https://godsunchained.com/marketplace/search/(asset:details/157/4/your_contract_number/card),Meteorite
201000117,ETH,https://card.godsunchained.com/?id=291&q=2&w=512&png=true,Faraday Cage, 0.0819,https://godsunchained.com/marketplace/search/(asset:details/291/2/your_contract_number/card),Gold
201000118,ETH,https://card.godsunchained.com/?id=384&q=2&w=512&png=true,Magic Missile Launcher, 0.75,https://godsunchained.com/marketplace/search/(asset:details/384/2/your_contract_number/card),Gold
201000119,ETH,https://card.godsunchained.com/?id=201&q=3&w=512&png=true,Mugging, 0.03,https://godsunchained.com/marketplace/search/(asset:details/201/3/your_contract_number/card),Shadow
201000120,ETH,https://card.godsunchained.com/?id=305&q=3&w=512&png=true,Raiding Kraken, 0.024,https://godsunchained.com/marketplace/search/(asset:details/305/3/your_contract_number/card),Shadow
201000121,ETH,https://card.godsunchained.com/?id=181&q=3&w=512&png=true,Daemonic Offering, 0.079,https://godsunchained.com/marketplace/search/(asset:details/181/3/your_contract_number/card),Shadow
201000122,ETH,https://card.godsunchained.com/?id=90&q=4&w=512&png=true,Synergy Golem, 0.01,https://godsunchained.com/marketplace/search/(asset:details/90/4/your_contract_number/card),Meteorite
201000123,ETH,https://card.godsunchained.com/?id=53&q=4&w=512&png=true,Dire Demilich, 0.015,https://godsunchained.com/marketplace/search/(asset:details/53/4/your_contract_number/card),Meteorite
201000124,ETH,https://card.godsunchained.com/?id=227&q=2&w=512&png=true,Hollow Pillager, 0.0385,https://godsunchained.com/marketplace/search/(asset:details/227/2/your_contract_number/card),Gold
201000125,ETH,https://card.godsunchained.com/?id=23&q=2&w=512&png=true,Portal Wrangler, 0.0318,https://godsunchained.com/marketplace/search/(asset:details/23/2/your_contract_number/card),Gold
201000126,ETH,https://card.godsunchained.com/?id=174&q=2&w=512&png=true,Vine Armour, 0.033,https://godsunchained.com/marketplace/search/(asset:details/174/2/your_contract_number/card),Gold
201000127,ETH,https://card.godsunchained.com/?id=10&q=2&w=512&png=true,Catacomb Curator, 0.031,https://godsunchained.com/marketplace/search/(asset:details/10/2/your_contract_number/card),Gold
201000128,ETH,https://card.godsunchained.com/?id=283&q=2&w=512&png=true,Hypnos Puzzle Box, 0.033,https://godsunchained.com/marketplace/search/(asset:details/283/2/your_contract_number/card),Gold
201000129,ETH,https://card.godsunchained.com/?id=187&q=4&w=512&png=true,Hooded Doppelganger, 0.0069,https://godsunchained.com/marketplace/search/(asset:details/187/4/your_contract_number/card),Meteorite
201000130,ETH,https://card.godsunchained.com/?id=137&q=4&w=512&png=true,Wrath Zealot, 0.009,https://godsunchained.com/marketplace/search/(asset:details/137/4/your_contract_number/card),Meteorite
201000131,ETH,https://card.godsunchained.com/?id=21&q=4&w=512&png=true,Osiris the Eternal, 0.07,https://godsunchained.com/marketplace/search/(asset:details/21/4/your_contract_number/card),Meteorite
201000132,ETH,https://card.godsunchained.com/?id=260&q=2&w=512&png=true,Avatar of War, 5,https://godsunchained.com/marketplace/search/(asset:details/260/2/your_contract_number/card),Gold
201000133,ETH,https://card.godsunchained.com/?id=115&q=2&w=512&png=true,Master of Surprises, 1.9,https://godsunchained.com/marketplace/search/(asset:details/115/2/your_contract_number/card),Gold
201000134,ETH,https://card.godsunchained.com/?id=1053&q=4&w=512&png=true,Devouring Blade, 0.0047,https://godsunchained.com/marketplace/search/(asset:details/1053/4/your_contract_number/card),Meteorite
